@relation 6+6-weka.filters.unsupervised.instance.Resample-S1-Z66.0-no-replacement

@attribute status {canceled,order_refunded,complete,received,refund,Visa}
@attribute qty_ordered numeric
@attribute price numeric
@attribute value numeric
@attribute discount_amount numeric
@attribute total numeric
@attribute category {'Mobiles And Tablets',Computing,Appliances,'Men s Fashion','Home And Living','Women s Fashion',Entertainment,'Kids And Baby',Soghaat,'Health And Sports','Beauty And Grooming',Others,Superstore}
@attribute year numeric
@attribute month {20-Oct,20-Nov,20-Dec,21-Feb,21-Jun,21-Sep,21-Apr,21-Mar,21-Jul,21-Aug,21-Jan,21-May}
@attribute 'Name Prefix' {Prof.,Hon.,Ms.,Dr.,Mr.,Drs.,Mrs.}
@attribute Gender {M,F}
@attribute age numeric
@attribute full_name {'Eaker, Lee','Bayless, Grover','Bensen, Albertina','Galle, Drema','Dewald, Bernard','Raminez, Elizbeth','Blount, Lenny','Criss, Harrison','Henrich, Wallace','Grantham, Heidy','Barnaby, Buster','Wetherby, Dorene','Fabiano, Dreama','Puls, Sherron','Croom, Marge','Mayo, Lauran','Roach, Skye','Nicastro, Emile','Kenney, Pamella','Flanigan, Yong','Titus, Jani','Simoneau, Jason','Newsome, Sheryll','Brammer, Hilario','Dinapoli, Robbie','Murguia, Rachell','Waymire, Abe','Hopps, Romeo','Stough, Florentino','Coutee, Micah','Heyer, Darrin','Crawley, Antione','Fout, Lauren','Vuong, Gigi','Pugh, Ward','Colombo, Marvin','Olin, Hector','Cyphers, Horacio','Gendron, Daniell','Gass, Leon','Landaverde, Gavin','Vigue, Kelvin','Mattia, Arturo'}
@attribute 'Place Name' {Vinson,Graham,'Grand Forks',Laupahoehoe,Glendo,Farmington,Nashville,Warwick,Sarasota,Brownstown,'Mill Springs',Brighton,Phoenix,'Fort Smith',Drew,Snyder,Riverton,Huntington,Benton,'El Monte','Saint Louis',Linton,'Lake Charles',Newton,Baytown,'Ottawa Lake','San Francisco',Waltersburg,'Clifton Forge',Odin,Wisdom,Ogunquit,Ducor,'New Orleans',Bernalillo,'Des Moines',Gulliver,Utica,'Clarks Grove','East Texas',Inman,Voltaire,Brasstown}
@attribute County {Harmon,Bradford,'Grand Forks',Hawaii,Platte,Oconee,Davidson,Kent,Sarasota,Fayette,Wayne,Jersey,Maricopa,Sebastian,Sunflower,Dodge,Burlington,Cabell,Benton,'Los Angeles','St. Louis (city)',Emmons,Calcasieu,Newton,Harris,Monroe,'San Francisco','Clifton Forge',Watonwan,Beaverhead,York,Tulare,Orleans,Sandoval,Polk,Schoolcraft,Licking,Freeborn,Lehigh,Spartanburg,McHenry,Clay}
@attribute City {Vinson,Graham,'Grand Forks',Laupahoehoe,Glendo,Farmington,Nashville,Warwick,Sarasota,Brownstown,'Mill Springs',Brighton,Phoenix,'Fort Smith',Drew,Snyder,Riverton,Huntington,Benton,'El Monte','Saint Louis',Linton,'Lake Charles',Newton,Baytown,'Ottawa Lake','San Francisco',Waltersburg,'Clifton Forge',Odin,Wisdom,Ogunquit,Ducor,'New Orleans',Bernalillo,'Des Moines',Gulliver,Utica,'Clarks Grove','East Texas',Inman,Voltaire,Brasstown}
@attribute State {OK,FL,ND,HI,WY,GA,TN,RI,IL,KY,AZ,AR,MS,NE,NJ,WV,CA,MO,LA,TX,MI,PA,VA,MN,MT,ME,NM,IA,OH,SC,NC}
@attribute Zip numeric
@attribute Region {South,Midwest,West,Northeast}
@attribute Discount_Percent numeric
@attribute payment_method {Paypal,Visa}

@data
canceled,1,2939.9,0,0,0,'Mobiles And Tablets',2021,21-Jul,Ms.,F,54,'Roach, Skye',Drew,Sunflower,Drew,MS,38737,South,0,Visa
order_refunded,2,315.2,315.2,0,315.2,Computing,2020,20-Oct,Mrs.,F,75,'Newsome, Sheryll','Lake Charles',Calcasieu,'Lake Charles',LA,70629,South,0,Paypal
canceled,2,325,325,0,325,'Men s Fashion',2020,20-Dec,Ms.,F,71,'Raminez, Elizbeth','Grand Forks','Grand Forks','Grand Forks',ND,58201,Midwest,0,Paypal
canceled,2,445,445,0,445,Appliances,2020,20-Oct,Mr.,M,46,'Henrich, Wallace',Brownstown,Fayette,Brownstown,IL,62418,Midwest,0,Paypal
canceled,2,19.9,19.9,0,19.9,'Mobiles And Tablets',2020,20-Oct,Ms.,F,38,'Mayo, Lauran',Phoenix,Maricopa,Phoenix,AZ,85015,West,0,Visa
received,2,21.5,21.5,0,21.5,'Men s Fashion',2020,20-Oct,Ms.,F,38,'Mayo, Lauran',Baytown,Harris,Baytown,TX,77522,South,0,Paypal
canceled,1,99.9,0,0,0,'Men s Fashion',2021,21-Sep,Ms.,F,71,'Raminez, Elizbeth',Brownstown,Fayette,Brownstown,IL,62418,Midwest,0,Paypal
received,2,36,36,0,36,'Health And Sports',2020,20-Oct,Mr.,M,52,'Nicastro, Emile','East Texas',Lehigh,'East Texas',PA,18046,Northeast,0,Visa
canceled,2,315.5,315.5,49.28917,266.21083,Appliances,2020,20-Dec,Prof.,M,28,'Eaker, Lee','Lake Charles',Calcasieu,'Lake Charles',LA,70629,South,10,Visa
received,2,112,112,0,112,Appliances,2021,21-Jul,Ms.,F,38,'Mayo, Lauran','El Monte','Los Angeles','El Monte',CA,91734,West,0,Paypal
received,2,79.8,79.8,0,79.8,'Women s Fashion',2020,20-Dec,Mr.,M,47,'Flanigan, Yong','Lake Charles',Calcasieu,'Lake Charles',LA,70629,South,1.324138,Paypal
received,11,39.9,399,0,399,'Home And Living',2021,21-Jun,Ms.,F,54,'Roach, Skye',Drew,Sunflower,Drew,MS,38737,South,0,Visa
canceled,2,299.9,299.9,0,299.9,'Men s Fashion',2021,21-Jun,Ms.,F,71,'Raminez, Elizbeth',Nashville,Davidson,Nashville,TN,37245,South,0,Paypal
canceled,2,1690,1690,0,1690,'Mobiles And Tablets',2020,20-Oct,Mr.,M,46,'Henrich, Wallace',Brownstown,Fayette,Brownstown,IL,62418,Midwest,0,Paypal
received,2,249.9,249.9,0,249.9,'Women s Fashion',2020,20-Oct,Mr.,M,46,'Henrich, Wallace',Phoenix,Maricopa,Phoenix,AZ,85015,West,16.142105,Paypal
canceled,2,325,325,0,325,'Men s Fashion',2020,20-Dec,Ms.,F,71,'Raminez, Elizbeth',Graham,Bradford,Graham,FL,32042,South,20,Paypal
order_refunded,2,2938,2938,0,2938,'Mobiles And Tablets',2021,21-Jun,Ms.,F,54,'Roach, Skye',Ducor,Tulare,Ducor,CA,93218,West,12.704508,Visa
order_refunded,2,2184,2184,0,2184,'Men s Fashion',2021,21-Mar,Ms.,F,54,'Roach, Skye',Wisdom,Beaverhead,Wisdom,MT,59761,West,0,Visa
complete,2,1689.9,1689.9,0,1689.9,Entertainment,2020,20-Dec,Mr.,M,47,'Flanigan, Yong','Saint Louis','St. Louis (city)','Saint Louis',MO,63110,Midwest,11.459527,Paypal
complete,2,469.9,469.9,55.99,413.91,Appliances,2020,20-Dec,Mr.,M,47,'Flanigan, Yong','El Monte','Los Angeles','El Monte',CA,91734,West,0,Paypal
order_refunded,2,24.8,24.8,0,24.8,Superstore,2020,20-Dec,Dr.,M,38,'Hopps, Romeo',Odin,Watonwan,Odin,MN,56160,Midwest,0,Paypal
canceled,2,140,140,0,140,'Women s Fashion',2020,20-Oct,Mr.,M,65,'Simoneau, Jason','Lake Charles',Calcasieu,'Lake Charles',LA,70629,South,0,Paypal
canceled,2,49.9,49.9,0,49.9,'Men s Fashion',2020,20-Dec,Mr.,M,52,'Nicastro, Emile','El Monte','Los Angeles','El Monte',CA,91734,West,0,Paypal
order_refunded,1,549.9,0,0,0,Appliances,2020,20-Oct,Prof.,M,28,'Eaker, Lee',Vinson,Harmon,Vinson,OK,73571,South,0,Paypal
canceled,2,2625,2625,0,2625,Appliances,2021,21-Feb,Ms.,F,71,'Raminez, Elizbeth',Nashville,Davidson,Nashville,TN,37245,South,0,Paypal
received,2,140,140,0,140,'Women s Fashion',2020,20-Oct,Mr.,M,46,'Henrich, Wallace',Phoenix,Maricopa,Phoenix,AZ,85015,West,0,Paypal
canceled,2,8,8,0,8,'Beauty And Grooming',2020,20-Oct,Mr.,M,46,'Henrich, Wallace',Wisdom,Beaverhead,Wisdom,MT,59761,West,0,Paypal
canceled,1,1861.7,0,0,0,Appliances,2020,20-Dec,Mr.,M,47,'Flanigan, Yong','El Monte','Los Angeles','El Monte',CA,91734,West,0,Paypal
order_refunded,2,100,100,0,100,'Women s Fashion',2020,20-Nov,Mr.,M,47,'Flanigan, Yong',Brasstown,Clay,Brasstown,NC,28902,South,0,Visa
complete,2,10,10,0,10,'Beauty And Grooming',2020,20-Nov,Ms.,F,38,'Mayo, Lauran','El Monte','Los Angeles','El Monte',CA,91734,West,0,Paypal
canceled,2,315.5,315.5,49.28917,266.21083,Appliances,2020,20-Dec,Prof.,M,28,'Eaker, Lee','Lake Charles',Calcasieu,'Lake Charles',LA,70629,South,10,Visa
complete,2,234.8,234.8,0,234.8,'Women s Fashion',2020,20-Oct,Mr.,M,60,'Crawley, Antione',Wisdom,Beaverhead,Wisdom,MT,59761,West,0,Paypal
complete,2,129.9,129.9,12.99,116.91,'Mobiles And Tablets',2020,20-Dec,Ms.,F,54,'Roach, Skye',Snyder,Dodge,Snyder,NE,68664,Midwest,0,Visa
received,2,13,13,0,13,'Health And Sports',2020,20-Oct,Ms.,F,38,'Mayo, Lauran',Baytown,Harris,Baytown,TX,77522,South,0,Paypal
canceled,2,1690,1690,0,1690,'Mobiles And Tablets',2020,20-Oct,Mr.,M,46,'Henrich, Wallace',Brownstown,Fayette,Brownstown,IL,62418,Midwest,0,Paypal
order_refunded,2,7,7,0,7,Superstore,2020,20-Nov,Mr.,M,64,'Blount, Lenny','Ottawa Lake',Monroe,'Ottawa Lake',MI,49267,Midwest,0,Paypal
canceled,2,325,325,0,325,'Men s Fashion',2020,20-Dec,Ms.,F,71,'Raminez, Elizbeth','Grand Forks','Grand Forks','Grand Forks',ND,58201,Midwest,0,Paypal
canceled,2,4999.9,4999.9,520,4479.9,Appliances,2020,20-Dec,Mr.,M,47,'Flanigan, Yong','El Monte','Los Angeles','El Monte',CA,91734,West,0,Visa
canceled,3,125,250,25,225,'Women s Fashion',2020,20-Dec,Mr.,M,64,'Blount, Lenny',Snyder,Dodge,Snyder,NE,68664,Midwest,0,Visa
order_refunded,2,149.9,149.9,0,149.9,'Men s Fashion',2020,20-Oct,Mrs.,F,75,'Newsome, Sheryll','Lake Charles',Calcasieu,'Lake Charles',LA,70629,South,0,Paypal
order_refunded,2,118.8,118.8,0,118.8,Computing,2021,21-May,Ms.,F,54,'Roach, Skye',Wisdom,Beaverhead,Wisdom,MT,59761,West,0,Visa
canceled,3,1279.9,2559.8,0,2559.8,'Mobiles And Tablets',2020,20-Oct,Mr.,M,46,'Henrich, Wallace',Brownstown,Fayette,Brownstown,IL,62418,Midwest,0,Paypal
complete,2,2845.7,2845.7,400,2445.7,'Mobiles And Tablets',2020,20-Dec,Mr.,M,52,'Nicastro, Emile',Snyder,Dodge,Snyder,NE,68664,Midwest,0,Visa
complete,2,121.5,121.5,0,121.5,'Women s Fashion',2020,20-Oct,Mr.,M,75,'Criss, Harrison',Brownstown,Fayette,Brownstown,IL,62418,Midwest,0,Paypal
